...1,food_group,main.effect.mean,main.effect.se,age.effect.mean,age.effect.se,race.effect.mean,race.effect.se,htn.effect.mean,htn.effect.se
1,fruit,0,0,0,0,0,0,0,0
2,gr_whole,0,0,0,0,0,0,0,0
3,pf_pm,0,0,0,0,0,0,0,0
4,pf_redm,0,0,0,0,0,0,0,0
5,ssb,0,0,0,0,0,0,0,0
6,sodium,1.62,0.320408163,0.0457,0.012908163,1.08,0.460714286,0.815,0.384693878
7,added_sugar,0,0,0,0,0,0,0,0
8,dairy,0,0,0,0,0,0,0,0
9,gr_refined,0,0,0,0,0,0,0,0
10,oil,0,0,0,0,0,0,0,0
11,pf_egg,0,0,0,0,0,0,0,0
12,pf_leg,0,0,0,0,0,0,0,0
13,pf_ns,0,0,0,0,0,0,0,0
14,pf_pm,0,0,0,0,0,0,0,0
15,pf_poultry,0,0,0,0,0,0,0,0
16,pf_seafood,0,0,0,0,0,0,0,0
17,pf_soy,0,0,0,0,0,0,0,0
18,sat_fat,0,0,0,0,0,0,0,0
19,veg_dg,0,0,0,0,0,0,0,0
20,veg_leg,0,0,0,0,0,0,0,0
21,veg_oth,0,0,0,0,0,0,0,0
22,veg_ro,0,0,0,0,0,0,0,0
23,veg_sta,0,0,0,0,0,0,0,0
24,veg_exc_sta,0,0,0,0,0,0,0,0
25,fruit_exc_juice,0,0,0,0,0,0,0,0
26,sea_omega3_fa,0,0,0,0,0,0,0,0
27,fiber,0,0,0,0,0,0,0,0
28,pf_animal,0,0,0,0,0,0,0,0
29,pf_plant,0,0,0,0,0,0,0,0
30,pufa_rep_carb,0,0,0,0,0,0,0,0
31,pufa_rep_sfa,0,0,0,0,0,0,0,0
32,pufa_rep_carbsfa,0,0,0,0,0,0,0,0
33,babyfood,0,0,0,0,0,0,0,0
34,coffee_tea,0,0,0,0,0,0,0,0
35,other,0,0,0,0,0,0,0,0
36,water,0,0,0,0,0,0,0,0
