fcidcode,fcid_desc
9500115000,"Coffee, roasted bean"
8602000000,"Water, indirect, all sources"
NA,NA
8601200000,"Water, direct, bottled"
8601100000,"Water, direct, tap"
9500372000,"Tea, dried"
9500116000,"Coffee, instant"
3700222501,"Milk, human"
9500373000,"Tea, instant"
3600225001,"Milk, sugar (lactose)-baby food/infant formula"
1902105001,Cinnamon-babyfood
9500335001,Seaweed-babyfood
802272001,"Pepper, nonbell-babyfood"
1902354001,"Spices, other-babyfood"
1902274001,"Pepper, black and white-babyfood"
